;Entity;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
11032;Turkey;2019.0;3633730.0;836376.0;1207088000.0;6188000.0;87.0;5057026.0;3405667.0;;611.0;1021.0;;3188.0;125918.0;1075552.0;;2201890.0
11060;Turkmenistan;2019.0;809337.0;658889.0;16127000.0;;4500.0;8281500.0;304362.0;;;;;;136551.0;146226.0;249.0;20171.0
11150;Uganda;2019.0;1169442.0;3035840.0;50070000.0;;2072248.0;688799.0;438692.0;;;;;;45493.0;166515.0;129389.0;68488.0
11178;Ukraine;2019.0;2127500.0;389400.0;717546000.0;2527000.0;8040000.0;475800.0;2500801.0;;28946.0;7700.0;;9570.0;13900.0;369500.0;708300.0;1389801.0
11237;United Arab Emirates;2019.0;72757.0;3698952.0;41757000.0;;;233670.0;163591.0;;;;37045.0;;63427.0;18189.0;;44930.0
11296;United Kingdom;2019.0;2826000.0;;1108000000.0;12100000.0;11107000.0;14852000.0;4075399.0;4744.0;27900.0;2955.0;;2680.0;307000.0;914000.0;957000.0;1887580.0
11355;United States;2019.0;34264800.0;675200.0;9339249000.0;227660000.0;129990000.0;2413200.0;48133177.0;264755.0;64107.0;19226.0;;;79446.0;12348749.0;12542865.0;22878136.0
11414;Upper-middle-income countries;2019.0;131139848.0;167820082.0;30319687000.0;101679000.0;716747590.0;241875135.0;155605093.0;167211.0;3536584.0;443286.0;42285.0;2665046.0;6436888.0;29813594.0;57039763.0;60118251.0
11473;Uruguay;2019.0;2231997.0;;29535000.0;135000.0;142761.0;857117.0;649220.0;442.0;243.0;9357.0;;144.0;17658.0;580320.0;10000.0;31036.0
11501;Uzbekistan;2019.0;5269439.0;;28294000.0;;49463.0;8822140.0;1190749.0;;;6290.0;1959.0;;165806.0;944724.0;4755.0;64313.0
11560;Vanuatu;2019.0;10581.0;3255.0;710000.0;;66264.0;;6121.0;;;30.0;;;33.0;1949.0;3399.0;710.0
11619;Venezuela;2019.0;1654997.0;529490.0;249389000.0;;1708910.0;201778.0;924380.0;;;;;;10147.0;361453.0;124514.0;428154.0
11678;Vietnam;2019.0;1794421.0;1399055.0;551069000.0;;42192969.0;;4971673.0;;154175.0;1350.0;;;20993.0;449767.0;3328822.0;1144554.0
11914;World;2019.0;297494092.0;486433209.0;72452120000.0;619937000.0;1343677013.0;576088821.0;335456062.0;1945324.0;5013398.0;717083.0;623403.0;2774481.0;15550194.0;72039812.0;109635731.0;132386027.0
11973;Yemen;2019.0;1260039.0;7531075.0;189455000.0;;;4151645.0;400104.0;;;;2941.0;;131214.0;75602.0;;190347.0
12063;Zambia;2019.0;1183931.0;864231.0;48588000.0;;636187.0;67541.0;321816.0;40326.0;;;;;11781.0;191038.0;27962.0;50709.0
12122;Zimbabwe;2019.0;235027.0;2060377.0;58333000.0;30000.0;193820.0;31884.0;194412.0;36623.0;52.0;;;;25180.0;53560.0;10651.0;67260.0
